"Code","Libellé","Stock.site","PVTTC","DATE_CREATION","FOURNISSEUR_NOM","FOURNISSEUR_CODE","FOURNISSEUR_REFERENCE"
"2000408380221","Body bébé VANOS 114301 62-68/CAMO FR","9.000","13.5","18/11/2022","VANOS","10000012","114301"
"2000408510222","Body bébé VANOS 114301 74-80/CAMO FR","5.000","13.5","18/11/2022","VANOS","10000012","114301"
"2000408590224","Body bébé VANOS 114301 86-92/CAMO FR","","13.5","18/11/2022","VANOS","10000012","114301"
"2000410000001","Bomber aviation MA-I VANOS 1214011","43.000","45","18/11/2022","VANOS","10000012","1214011"
"2000410460089","Bomber aviation MA-I VANOS 1214011 3XL/KAKI","2.000","45","18/11/2022","VANOS","10000012","1214011"
"2000410460027","Bomber aviation MA-I VANOS 1214011 3XL/NOIR","2.000","45","18/11/2022","VANOS","10000012","1214011"
"2000410470088","Bomber aviation MA-I VANOS 1214011 4XL/KAKI","","45","18/11/2022","VANOS","10000012","1214011"
"2000410470026","Bomber aviation MA-I VANOS 1214011 4XL/NOIR","2.000","45","18/11/2022","VANOS","10000012","1214011"
"2000410480087","Bomber aviation MA-I VANOS 1214011 5XL/KAKI","","45","18/11/2022","VANOS","10000012","1214011"
"2000410480025","Bomber aviation MA-I VANOS 1214011 5XL/NOIR","1.000","45","18/11/2022","VANOS","10000012","1214011"
"2000410430082","Bomber aviation MA-I VANOS 1214011 L/KAKI","2.000","45","18/11/2022","VANOS","10000012","1214011"
"2000410430020","Bomber aviation MA-I VANOS 1214011 L/NOIR","4.000","45","18/11/2022","VANOS","10000012","1214011"
